2021-08-04/23:15:46		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-08-04/23:15:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-08-04/23:15:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-08-04/23:15:48		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-08-04/23:15:50		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-08-04/23:15:51		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-08-04/23:15:52		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-08-04/23:15:54		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-08-04/23:15:55		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-08-04/23:16:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-08-04/23:16:40		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-08-04/23:16:41		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-08-04/23:16:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-08-04/23:16:44		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-08-04/23:16:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-08-04/23:16:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-08-04/23:16:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-08-04/23:16:51		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-08-17/07:57:13		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-08-17/07:57:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-08-17/07:57:15		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-08-17/07:57:16		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-08-17/07:57:17		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-08-17/07:57:17		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-08-17/07:57:18		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-08-17/07:57:20		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-08-17/07:57:20		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-08-17/08:01:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-08-17/08:01:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-08-17/08:01:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-08-17/08:01:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-08-17/08:01:27		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-08-17/08:01:28		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-08-17/08:01:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-08-17/08:01:31		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-08-17/08:01:32		 wafer_29012020_050617.csv: File Transformed successfully!!
